Month_of_Price,County,Fuel,Price,PhysicalUnit
01/01/2006 12:00:00 AM,US,Gasoline - Regular,2.314,Dollars
01/01/2006 12:00:00 AM,US,Gasoline - Midgrade,2.457,Dollars
01/01/2006 12:00:00 AM,US,Gasoline - Premium,2.546,Dollars
01/01/2006 12:00:00 AM,US,Diesel,2.568,Dollars
01/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,2.8,Dollars
01/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,2.961,Dollars
01/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.016,Dollars
01/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.271,Dollars
01/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,2.714,Dollars
01/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,2.87,Dollars
01/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,2.924,Dollars
01/01/2006 12:00:00 AM,Honolulu,Diesel,3.25,Dollars
01/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.057,Dollars
01/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.233,Dollars
01/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.293,Dollars
01/01/2006 12:00:00 AM,Wailuku,Diesel,3.475,Dollars
01/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,2.856,Dollars
01/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.02,Dollars
01/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.076,Dollars
01/01/2006 12:00:00 AM,Hilo,Diesel,3.088,Dollars
02/01/2006 12:00:00 AM,US,Gasoline - Regular,2.285,Dollars
02/01/2006 12:00:00 AM,US,Gasoline - Midgrade,2.427,Dollars
02/01/2006 12:00:00 AM,US,Gasoline - Premium,2.515,Dollars
02/01/2006 12:00:00 AM,US,Diesel,2.568,Dollars
02/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,2.827,Dollars
02/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,2.989,Dollars
02/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.045,Dollars
02/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.264,Dollars
02/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,2.752,Dollars
02/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,2.91,Dollars
02/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,2.964,Dollars
02/01/2006 12:00:00 AM,Honolulu,Diesel,3.231,Dollars
02/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.055,Dollars
02/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.231,Dollars
02/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.292,Dollars
02/01/2006 12:00:00 AM,Wailuku,Diesel,3.481,Dollars
02/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,2.89,Dollars
02/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.056,Dollars
02/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.113,Dollars
02/01/2006 12:00:00 AM,Hilo,Diesel,3.072,Dollars
03/01/2006 12:00:00 AM,US,Gasoline - Regular,2.418,Dollars
03/01/2006 12:00:00 AM,US,Gasoline - Midgrade,2.567,Dollars
03/01/2006 12:00:00 AM,US,Gasoline - Premium,2.66,Dollars
03/01/2006 12:00:00 AM,US,Diesel,2.629,Dollars
03/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,2.801,Dollars
03/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,2.962,Dollars
03/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.018,Dollars
03/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.277,Dollars
03/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,2.724,Dollars
03/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,2.881,Dollars
03/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,2.934,Dollars
03/01/2006 12:00:00 AM,Honolulu,Diesel,3.236,Dollars
03/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.03,Dollars
03/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.204,Dollars
03/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.264,Dollars
03/01/2006 12:00:00 AM,Wailuku,Diesel,3.508,Dollars
03/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,2.834,Dollars
03/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,2.997,Dollars
03/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.053,Dollars
03/01/2006 12:00:00 AM,Hilo,Diesel,3.097,Dollars
04/01/2006 12:00:00 AM,US,Gasoline - Regular,2.77,Dollars
04/01/2006 12:00:00 AM,US,Gasoline - Midgrade,2.94,Dollars
04/01/2006 12:00:00 AM,US,Gasoline - Premium,3.047,Dollars
04/01/2006 12:00:00 AM,US,Diesel,2.812,Dollars
04/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,3.111,Dollars
04/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,3.29,Dollars
04/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.352,Dollars
04/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.344,Dollars
04/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,3.015,Dollars
04/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,3.189,Dollars
04/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,3.248,Dollars
04/01/2006 12:00:00 AM,Honolulu,Diesel,3.296,Dollars
04/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.401,Dollars
04/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.596,Dollars
04/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.663,Dollars
04/01/2006 12:00:00 AM,Wailuku,Diesel,3.569,Dollars
04/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,3.2,Dollars
04/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.384,Dollars
04/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.447,Dollars
04/01/2006 12:00:00 AM,Hilo,Diesel,3.216,Dollars
05/01/2006 12:00:00 AM,US,Gasoline - Regular,2.892,Dollars
05/01/2006 12:00:00 AM,US,Gasoline - Midgrade,3.07,Dollars
05/01/2006 12:00:00 AM,US,Gasoline - Premium,3.181,Dollars
05/01/2006 12:00:00 AM,US,Diesel,2.96,Dollars
05/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,3.404,Dollars
05/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,3.599,Dollars
05/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.666,Dollars
05/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.46,Dollars
05/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,3.297,Dollars
05/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,3.486,Dollars
05/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,3.551,Dollars
05/01/2006 12:00:00 AM,Honolulu,Diesel,3.416,Dollars
05/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.671,Dollars
05/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.882,Dollars
05/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.955,Dollars
05/01/2006 12:00:00 AM,Wailuku,Diesel,3.6,Dollars
05/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,3.531,Dollars
05/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.734,Dollars
05/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.803,Dollars
05/01/2006 12:00:00 AM,Hilo,Diesel,3.36,Dollars
06/01/2006 12:00:00 AM,US,Gasoline - Regular,2.873,Dollars
06/01/2006 12:00:00 AM,US,Gasoline - Midgrade,3.05,Dollars
06/01/2006 12:00:00 AM,US,Gasoline - Premium,3.16,Dollars
06/01/2006 12:00:00 AM,US,Diesel,2.959,Dollars
06/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,3.392,Dollars
06/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,3.586,Dollars
06/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.653,Dollars
06/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.49,Dollars
06/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,3.285,Dollars
06/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,3.473,Dollars
06/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,3.538,Dollars
06/01/2006 12:00:00 AM,Honolulu,Diesel,3.45,Dollars
06/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.632,Dollars
06/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.841,Dollars
06/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.912,Dollars
06/01/2006 12:00:00 AM,Wailuku,Diesel,3.599,Dollars
06/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,3.485,Dollars
06/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.685,Dollars
06/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.754,Dollars
06/01/2006 12:00:00 AM,Hilo,Diesel,3.401,Dollars
07/01/2006 12:00:00 AM,US,Gasoline - Regular,2.973,Dollars
07/01/2006 12:00:00 AM,US,Gasoline - Midgrade,3.156,Dollars
07/01/2006 12:00:00 AM,US,Gasoline - Premium,3.27,Dollars
07/01/2006 12:00:00 AM,US,Diesel,2.997,Dollars
07/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,3.374,Dollars
07/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,3.568,Dollars
07/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.635,Dollars
07/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.509,Dollars
07/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,3.265,Dollars
07/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,3.452,Dollars
07/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,3.517,Dollars
07/01/2006 12:00:00 AM,Honolulu,Diesel,3.465,Dollars
07/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.616,Dollars
07/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.823,Dollars
07/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.895,Dollars
07/01/2006 12:00:00 AM,Wailuku,Diesel,3.589,Dollars
07/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,3.492,Dollars
07/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.693,Dollars
07/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.762,Dollars
07/01/2006 12:00:00 AM,Hilo,Diesel,3.414,Dollars
08/01/2006 12:00:00 AM,US,Gasoline - Regular,2.952,Dollars
08/01/2006 12:00:00 AM,US,Gasoline - Midgrade,3.133,Dollars
08/01/2006 12:00:00 AM,US,Gasoline - Premium,3.247,Dollars
08/01/2006 12:00:00 AM,US,Diesel,3.1,Dollars
08/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,3.365,Dollars
08/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,3.558,Dollars
08/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.625,Dollars
08/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.525,Dollars
08/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,3.246,Dollars
08/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,3.433,Dollars
08/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,3.497,Dollars
08/01/2006 12:00:00 AM,Honolulu,Diesel,3.469,Dollars
08/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.624,Dollars
08/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.833,Dollars
08/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.904,Dollars
08/01/2006 12:00:00 AM,Wailuku,Diesel,3.645,Dollars
08/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,3.466,Dollars
08/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.665,Dollars
08/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.734,Dollars
08/01/2006 12:00:00 AM,Hilo,Diesel,3.441,Dollars
09/01/2006 12:00:00 AM,US,Gasoline - Regular,2.533,Dollars
09/01/2006 12:00:00 AM,US,Gasoline - Midgrade,2.689,Dollars
09/01/2006 12:00:00 AM,US,Gasoline - Premium,2.786,Dollars
09/01/2006 12:00:00 AM,US,Diesel,2.878,Dollars
09/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,3.237,Dollars
09/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,3.423,Dollars
09/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.487,Dollars
09/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.527,Dollars
09/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,3.108,Dollars
09/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,3.286,Dollars
09/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,3.348,Dollars
09/01/2006 12:00:00 AM,Honolulu,Diesel,3.454,Dollars
09/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.517,Dollars
09/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.719,Dollars
09/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.789,Dollars
09/01/2006 12:00:00 AM,Wailuku,Diesel,3.679,Dollars
09/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,3.39,Dollars
09/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.584,Dollars
09/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.651,Dollars
09/01/2006 12:00:00 AM,Hilo,Diesel,3.464,Dollars
10/01/2006 12:00:00 AM,US,Gasoline - Regular,2.239,Dollars
10/01/2006 12:00:00 AM,US,Gasoline - Midgrade,2.377,Dollars
10/01/2006 12:00:00 AM,US,Gasoline - Premium,2.463,Dollars
10/01/2006 12:00:00 AM,US,Diesel,2.62,Dollars
10/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,2.992,Dollars
10/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,3.163,Dollars
10/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.223,Dollars
10/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.496,Dollars
10/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,2.877,Dollars
10/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,3.043,Dollars
10/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,3.1,Dollars
10/01/2006 12:00:00 AM,Honolulu,Diesel,3.429,Dollars
10/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.265,Dollars
10/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.453,Dollars
10/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.517,Dollars
10/01/2006 12:00:00 AM,Wailuku,Diesel,3.69,Dollars
10/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,3.138,Dollars
10/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.318,Dollars
10/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.38,Dollars
10/01/2006 12:00:00 AM,Hilo,Diesel,3.386,Dollars
11/01/2006 12:00:00 AM,US,Gasoline - Regular,2.226,Dollars
11/01/2006 12:00:00 AM,US,Gasoline - Midgrade,2.363,Dollars
11/01/2006 12:00:00 AM,US,Gasoline - Premium,2.449,Dollars
11/01/2006 12:00:00 AM,US,Diesel,2.628,Dollars
11/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,2.861,Dollars
11/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,3.025,Dollars
11/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.082,Dollars
11/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.472,Dollars
11/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,2.765,Dollars
11/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,2.924,Dollars
11/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,2.978,Dollars
11/01/2006 12:00:00 AM,Honolulu,Diesel,3.426,Dollars
11/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.115,Dollars
11/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.294,Dollars
11/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.356,Dollars
11/01/2006 12:00:00 AM,Wailuku,Diesel,3.644,Dollars
11/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,2.997,Dollars
11/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.169,Dollars
11/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.228,Dollars
11/01/2006 12:00:00 AM,Hilo,Diesel,3.32,Dollars
12/01/2006 12:00:00 AM,US,Gasoline - Regular,2.309,Dollars
12/01/2006 12:00:00 AM,US,Gasoline - Midgrade,2.451,Dollars
12/01/2006 12:00:00 AM,US,Gasoline - Premium,2.54,Dollars
12/01/2006 12:00:00 AM,US,Diesel,2.694,Dollars
12/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,2.83,Dollars
12/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,2.993,Dollars
12/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.049,Dollars
12/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.487,Dollars
12/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,2.744,Dollars
12/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,2.902,Dollars
12/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,2.956,Dollars
12/01/2006 12:00:00 AM,Honolulu,Diesel,3.433,Dollars
12/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.092,Dollars
12/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.27,Dollars
12/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.331,Dollars
12/01/2006 12:00:00 AM,Wailuku,Diesel,3.703,Dollars
12/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,2.92,Dollars
12/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.088,Dollars
12/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.146,Dollars
12/01/2006 12:00:00 AM,Hilo,Diesel,3.313,Dollars
01/01/2007 12:00:00 AM,US,Gasoline - Regular,2.225,Dollars
01/01/2007 12:00:00 AM,US,Gasoline - Midgrade,2.361,Dollars
01/01/2007 12:00:00 AM,US,Gasoline - Premium,2.447,Dollars
01/01/2007 12:00:00 AM,US,Diesel,2.595,Dollars
01/01/2007 12:00:00 AM,State of Hawaii,Gasoline - Regular,2.908,Dollars
01/01/2007 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,3.075,Dollars
01/01/2007 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.132,Dollars
01/01/2007 12:00:00 AM,State of Hawaii,Diesel,3.499,Dollars
01/01/2007 12:00:00 AM,Honolulu,Gasoline - Regular,2.816,Dollars
01/01/2007 12:00:00 AM,Honolulu,Gasoline - Midgrade,2.978,Dollars
01/01/2007 12:00:00 AM,Honolulu,Gasoline - Premium,3.034,Dollars
01/01/2007 12:00:00 AM,Honolulu,Diesel,3.439,Dollars
01/01/2007 12:00:00 AM,Wailuku,Gasoline - Regular,3.202,Dollars
01/01/2007 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.386,Dollars
01/01/2007 12:00:00 AM,Wailuku,Gasoline - Premium,3.45,Dollars
01/01/2007 12:00:00 AM,Wailuku,Diesel,3.712,Dollars
01/01/2007 12:00:00 AM,Hilo,Gasoline - Regular,3.008,Dollars
01/01/2007 12:00:00 AM,Hilo,Gasoline - Midgrade,3.18,Dollars
01/01/2007 12:00:00 AM,Hilo,Gasoline - Premium,3.24,Dollars
01/01/2007 12:00:00 AM,Hilo,Diesel,3.362,Dollars
02/01/2007 12:00:00 AM,US,Gasoline - Regular,2.254,Dollars
02/01/2007 12:00:00 AM,US,Gasoline - Midgrade,2.393,Dollars
02/01/2007 12:00:00 AM,US,Gasoline - Premium,2.48,Dollars
02/01/2007 12:00:00 AM,US,Diesel,2.574,Dollars
02/01/2007 12:00:00 AM,State of Hawaii,Gasoline - Regular,2.864,Dollars
02/01/2007 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,3.029,Dollars
02/01/2007 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.085,Dollars
02/01/2007 12:00:00 AM,State of Hawaii,Diesel,3.467,Dollars
02/01/2007 12:00:00 AM,Honolulu,Gasoline - Regular,2.764,Dollars
02/01/2007 12:00:00 AM,Honolulu,Gasoline - Midgrade,2.923,Dollars
02/01/2007 12:00:00 AM,Honolulu,Gasoline - Premium,2.977,Dollars
02/01/2007 12:00:00 AM,Honolulu,Diesel,3.403,Dollars
02/01/2007 12:00:00 AM,Wailuku,Gasoline - Regular,3.193,Dollars
02/01/2007 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.376,Dollars
02/01/2007 12:00:00 AM,Wailuku,Gasoline - Premium,3.439,Dollars
02/01/2007 12:00:00 AM,Wailuku,Diesel,3.679,Dollars
02/01/2007 12:00:00 AM,Hilo,Gasoline - Regular,2.976,Dollars
02/01/2007 12:00:00 AM,Hilo,Gasoline - Midgrade,3.147,Dollars
02/01/2007 12:00:00 AM,Hilo,Gasoline - Premium,3.206,Dollars
02/01/2007 12:00:00 AM,Hilo,Diesel,3.43,Dollars
03/01/2007 12:00:00 AM,US,Gasoline - Regular,2.551,Dollars
03/01/2007 12:00:00 AM,US,Gasoline - Midgrade,2.708,Dollars
03/01/2007 12:00:00 AM,US,Gasoline - Premium,2.806,Dollars
03/01/2007 12:00:00 AM,US,Diesel,2.736,Dollars
03/01/2007 12:00:00 AM,State of Hawaii,Gasoline - Regular,2.931,Dollars
03/01/2007 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,3.099,Dollars
03/01/2007 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.157,Dollars
03/01/2007 12:00:00 AM,State of Hawaii,Diesel,3.464,Dollars
03/01/2007 12:00:00 AM,Honolulu,Gasoline - Regular,2.833,Dollars
03/01/2007 12:00:00 AM,Honolulu,Gasoline - Midgrade,2.995,Dollars
03/01/2007 12:00:00 AM,Honolulu,Gasoline - Premium,3.051,Dollars
03/01/2007 12:00:00 AM,Honolulu,Diesel,3.409,Dollars
03/01/2007 12:00:00 AM,Wailuku,Gasoline - Regular,3.223,Dollars
03/01/2007 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.408,Dollars
03/01/2007 12:00:00 AM,Wailuku,Gasoline - Premium,3.472,Dollars
03/01/2007 12:00:00 AM,Wailuku,Diesel,3.656,Dollars
03/01/2007 12:00:00 AM,Hilo,Gasoline - Regular,2.977,Dollars
03/01/2007 12:00:00 AM,Hilo,Gasoline - Midgrade,3.148,Dollars
03/01/2007 12:00:00 AM,Hilo,Gasoline - Premium,3.207,Dollars
03/01/2007 12:00:00 AM,Hilo,Diesel,3.408,Dollars
04/01/2007 12:00:00 AM,US,Gasoline - Regular,2.829,Dollars
04/01/2007 12:00:00 AM,US,Gasoline - Midgrade,3.003,Dollars
04/01/2007 12:00:00 AM,US,Gasoline - Premium,3.112,Dollars
04/01/2007 12:00:00 AM,US,Diesel,2.912,Dollars
04/01/2007 12:00:00 AM,State of Hawaii,Gasoline - Regular,3.079,Dollars
04/01/2007 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,3.256,Dollars
04/01/2007 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.317,Dollars
04/01/2007 12:00:00 AM,State of Hawaii,Diesel,3.503,Dollars
04/01/2007 12:00:00 AM,Honolulu,Gasoline - Regular,2.995,Dollars
04/01/2007 12:00:00 AM,Honolulu,Gasoline - Midgrade,3.167,Dollars
04/01/2007 12:00:00 AM,Honolulu,Gasoline - Premium,3.227,Dollars
04/01/2007 12:00:00 AM,Honolulu,Diesel,3.429,Dollars
04/01/2007 12:00:00 AM,Wailuku,Gasoline - Regular,3.334,Dollars
04/01/2007 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.525,Dollars
04/01/2007 12:00:00 AM,Wailuku,Gasoline - Premium,3.591,Dollars
